Block Size,Matrix Size,MFLOP
224,1527,66530.3
232,31,5691.83
232,32,6572.13
232,96,51806.8
232,97,46070.4
232,127,62830.0
232,128,65673.9
232,129,59194.8
232,191,68824.6
232,192,74868.3
232,229,70099.9
232,255,55974.7
232,256,56562.9
232,257,56525.2
232,319,62496.8
232,320,61324.7
232,321,61158.8
232,417,63116.9
232,479,61445.6
232,480,60641.2
232,511,63606.1
232,512,62589.3
232,639,68716.8
232,640,69664.8
232,767,64976.6
232,768,66138.2
232,769,64747.5
232,1023,67661.6
232,1024,67437.9
232,1025,66474.8
232,1525,67353.0
232,1526,70126.9
232,1527,68263.9
240,31,5813.07
240,32,5990.93
240,96,50295.4
240,97,45066.9
240,127,61492.0
240,128,63830.4
240,129,58110.3
240,191,70391.6
240,192,71584.5
240,229,68472.1
240,255,57165.4
240,256,58667.9
240,257,53750.0
240,319,62033.1
240,320,60989.9
240,321,58691.7
240,417,66673.5
240,479,68219.0
240,480,65389.0
240,511,58496.2
240,512,60980.3
240,639,67507.3
240,640,65137.9
240,767,63675.9
240,768,63470.9
240,769,63122.5
240,1023,64762.9
240,1024,62183.6
240,1025,67795.9
240,1525,66245.9
240,1526,67393.0
240,1527,67138.1
248,31,5314.3
248,32,6148.91
248,96,51505.7
248,97,47593.0
248,127,65357.5
248,128,62728.7
248,129,59462.9
248,191,75338.9
248,192,73364.3
248,229,72163.1
248,255,58554.4
248,256,57522.3
248,257,54067.0
248,319,60459.2
248,320,64488.7
248,321,60752.8
248,417,68452.9
248,479,71980.7
248,480,70824.9
248,511,62218.2
248,512,62244.7
248,639,68427.9
248,640,69181.2
248,767,65909.0
248,768,66001.9
248,769,64235.3
248,1023,64380.1
248,1024,66979.2
248,1025,65572.9
248,1525,66282.8
248,1526,63943.4
248,1527,66176.3
